,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
353,1.12E+01,40.24800112,175.1299707,3.056369471,0.973366074,0.7854143640609974
354,1.11E+01,39.92400054,180.7320019,3.154136159,1.004501961,0.8236388230640813
355,1.10E+01,39.56399917,180.2376324,3.145508419,1.001754274,0.8228278089041642
356,1.09E+01,39.34800112,171.1658951,2.987188396,0.951333884,0.7449258192491677
357,1.08E+01,38.77200166,171.1368919,2.986682232,0.951172685,0.7379441437997535
358,9.25E+00,33.3,175.4090806,3.061240499,0.974917356,0.7592219442340911
359,8.60E+00,30.96000137,156.7263463,2.73518929,0.871079392,0.6917343660233962
360,8.32E+00,29.9519989,151.9489728,2.651814534,0.844526922,0.7209871803111084
361,8.07E+00,29.0519989,141.5332168,2.470038688,0.786636525,0.6850463747251926
362,7.89E+00,28.40399952,139.3852262,2.432551941,0.77469807,0.6776601501195757
363,7.90E+00,28.44000034,118.2306137,2.063361496,0.657121495,0.6045392183094301
364,7.88E+00,28.36800041,120.6388609,2.105390243,0.670506447,0.612899084405632
365,7.97E+00,28.69199924,149.358118,2.606598918,0.830127044,0.7120033277688996
366,7.99E+00,28.76399918,135.7732224,2.369515225,0.754622683,0.6652177622611427
367,8.06E+00,29.01600151,136.2666397,2.378126347,0.757365079,0.6669201110722254
368,8.05E+00,28.98000069,142.7437676,2.491165229,0.793364722,0.6892083449672151
369,7.97E+00,28.69199924,152.4144747,2.659938476,0.847114164,0.7226062457539179
370,7.91E+00,28.47599945,158.4373624,2.765049955,0.880589158,0.7437320776908243
371,7.91E+00,28.47599945,142.5837288,2.48837223,0.792475233,0.6886580819019036
372,7.94E+00,28.58400021,144.3928842,2.519945623,0.802530453,0.6948802383872226
